modismo,ejemplo_original,modelo,sinonimo,ejemplo_con_sinonimo,align_score
abajeño,"Empezaron cultivos de tabaco y a elaborar un delicioso aguardiente de contrabando, al mismo tiempo que cultivaban cacao para llevar a los abajeños de Cartago.",Amazon_Nova_Micro_V1,habitantes de cartago,"Empezaron cultivos de tabaco y a elaborar un delicioso aguardiente de contrabando, al mismo tiempo que cultivaban cacao para llevar a los habitantes de cartagos de Cartago.",0.21206504106521606
abalear,El funcionario resultó ileso a pesar de que el avión en que se dirigía a la capital del departamento fue abaleado.,Amazon_Nova_Micro_V1,disparos,El funcionario resultó ileso a pesar de que el avión en que se dirigía a la capital del departamento fue abaleado.,0.9987967014312744
abaleo,Por la calle doce se oía un tremendo abaleo y al poco rato vimos llegar a la policía.,Amazon_Nova_Micro_V1,ruido fuerte,Por la calle doce se oía un tremendo ruido fuerte y al poco rato vimos llegar a la policía.,0.42898064851760864
abanicar,El bateador se ponchó abanicando el tercer lanzamiento.,Amazon_Nova_Micro_V1,fallar al batear,El bateador se ponchó abanicando el tercer lanzamiento.,0.9990290403366089
abanico,"No podía dormir la siesta de la tarde sin el abanico prendido, el calor era desesperante.",Amazon_Nova_Micro_V1,ventilador encendido,"No podía dormir la siesta de la tarde sin el ventilador encendido prendido, el calor era desesperante.",0.07467196136713028
abarco,"Actualmente, la oferta de madera de abarco ha disminuido, como consecuencia de la reducción de sus poblaciones naturales.",Amazon_Nova_Micro_V1,madera de ceiba,"Actualmente, la oferta de madera de madera de ceiba ha disminuido, como consecuencia de la reducción de sus poblaciones naturales.",0.00660044327378273
abarrotes,"El Plaza Centro tiene 389 soluciones destinadas para vendedores de hierbas, flores, artesanías, frutas, verduras, abarrotes, carnes y lácteos.",Amazon_Nova_Micro_V1,productos básicos,"El Plaza Centro tiene 389 soluciones destinadas para vendedores de hierbas, flores, artesanías, frutas, verduras, productos básicos, carnes y lácteos.",0.16930784285068512
abeja,Llegaste sin problemas al sitio: no contaban con que eres una abeja y que siempre cargas un mapa del lugar a donde vas.,Amazon_Nova_Micro_V1,persona organizada,Llegaste sin problemas al sitio: no contaban con que eres una persona organizada y que siempre cargas un mapa del lugar a donde vas.,0.41580700874328613
abejorrear,Se ha vuelto una práctica de lo más normal eso de que se le peguen a una los tipos en los buses y lo abejorreen.,Amazon_Nova_Micro_V1,molestar repetidamente,Se ha vuelto una práctica de lo más normal eso de que se le peguen a una los tipos en los buses y lo abejorreen.,0.999035120010376
abismante,"Después de todo, el poder adquisitivo de los latinos y los asiáticos está creciendo de manera abismante en ese país.",Amazon_Nova_Micro_V1,creciendo rápidamente,"Después de todo, el poder adquisitivo de los latinos y los asiáticos está creciendo de manera creciendo rápidamente en ese país.",0.11117004603147507
abombado,Juan no se comió la carne porque estaba abombada.,Amazon_Nova_Micro_V1,con exceso de gas,Juan no se comió la carne porque estaba abombada.,0.9989385008811951
aborrajado,El aborrajado es un plato típico que se inscribe en la amplia gama de platos que conforman la 'cocina vallecaucana'.,Amazon_Nova_Micro_V1,guiso de aguacate,El guiso de aguacate es un plato típico que se inscribe en la amplia gama de platos que conforman la 'cocina vallecaucana'.,0.05666947737336159
abotar,"Niña, abótese que la puede atropellar el carro.",Amazon_Nova_Micro_V1,detenerse,"Niña, abótese que la puede atropellar el carro.",0.9992578625679016
abozao,El grupo de Chocó bailó Voltea en ritmo de abozao que es una danza folclórica del Pacífico colombiano.,Amazon_Nova_Micro_V1,danza folclórica,El grupo de Chocó bailó Voltea en ritmo de danza folclórica que es una danza folclórica del Pacífico colombiano.,0.29668372869491577
abrebocas,"Cine, arte y paz en 5 cortometrajes de abrebocas al festival Caleidoscopio de sueños.",Amazon_Nova_Micro_V1,introducción atractiva,"Cine, arte y paz en 5 cortometrajes de introducción atractiva al festival Caleidoscopio de sueños.",0.1740291267633438
abrigar,Le voy a abrigar la arepita para que le sepa más rico.,Amazon_Nova_Micro_V1,agregar condimentos,Le voy a agregar condimentos la arepita para que le sepa más rico.,0.5473204851150513
abrirse,"No nos venga a engañar otra vez con sus cuentos, ábrase.",Amazon_Nova_Micro_V1,ser sincero,"No nos venga a engañar otra vez con sus cuentos, ábrase.",0.9992693066596985
abrochar,"Ponte a hacer la tarea, antes de que alguien llegue y te abroche.",Amazon_Nova_Micro_V1,ser reprendido,"Ponte a hacer la tarea, antes de que alguien llegue y te abroche.",0.9990373849868774
abuelita,"Trate de viajar en horarios que no haya congestión. Empaque un cargador de bebé, una abuelita cómoda o un coche portátil tipo paraguas.",Amazon_Nova_Micro_V1,silla plegable,"Trate de viajar en horarios que no haya congestión. Empaque un cargador de bebé, una silla plegable cómoda o un coche portátil tipo paraguas.",0.7701339721679688
abullonado,"Mientras se acomoda en el abullonado sofá, sufre un remezón sentimental enorme.",Amazon_Nova_Micro_V1,sofá arrugado,"Mientras se acomoda en el sofá arrugado sofá, sufre un remezón sentimental enorme.",0.1946045607328415
aburria,Esta pava se encuentra en estado de Casi Amenazada y es la única pava negra relativamente grande que habite en zonas montañosas.,Amazon_Nova_Micro_V1,pava negra montañosa,Esta pava se encuentra en estado de Casi Amenazada y es la única pava negra relativamente grande que habite en zonas montañosas.,0.9977657794952393
aburrición,¡Qué aburrición! Siempre los mismos con lo mismo en lo mismo.,Amazon_Nova_Micro_V1,monotonía,¡Qué monotonía! Siempre los mismos con lo mismo en lo mismo.,0.5059173107147217
acabado,"Si bien se ve acabado físicamente, su voz está intacta. Su intervención duró casi siete horas.",Amazon_Nova_Micro_V1,agotado físicamente,"Si bien se ve agotado físicamente físicamente, su voz está intacta. Su intervención duró casi siete horas.",0.7917608022689819
acabarropa,"Tronco acabarropa, no hizo nada y está pidiendo más plata.",Amazon_Nova_Micro_V1,pedir más dinero,"Tronco pedir más dinero, no hizo nada y está pidiendo más plata.",0.25473394989967346
acabose,El restaurante dejaba mucho que desear pero el acabose fue cuando los meseros exigieron unas propinas exageradas.,Amazon_Nova_Micro_V1,punto de no retorno,El restaurante dejaba mucho que desear pero el punto de no retorno fue cuando los meseros exigieron unas propinas exageradas.,0.11096154898405075
acartonado,El cantante vallenato no hacía gala de sus acostumbradas actuaciones y se le notaba serio y acartonado.,Amazon_Nova_Micro_V1,actuar rígido,El cantante vallenato no hacía gala de sus acostumbradas actuaciones y se le notaba serio y actuar rígido.,0.18107448518276215
