significado,modismo_original,amazon_nova_micro_v1,cohere_command_r_08_2024
Propio o nativo de las costas o de las tierras bajas.,abajeño,"{""prompt_id"":""P3"",""input"":""Propio o nativo de las costas o de las tierras bajas."",""output"":{""palabra"":""costeño""}}","{""prompt_id"":""P3"",""input"":""Propio o nativo de las costas o de las tierras bajas."",""output"":{""palabra"":""costeño""}}"
Disparar a alguien o a algo de manera repetida con un arma de fuego.,abalear,"{""prompt_id"":""P3"",""input"":""Disparar a alguien o a algo de manera repetida con un arma de fuego."",""output"":{""palabra"":""disparos al aire""}}","{""prompt_id"":""P3"",""input"":""Disparar a alguien o a algo de manera repetida con un arma de fuego."",""output"":{""palabra"":""darle plomo""}}"
Situación en la que hay disparos repetidos que provienen de una o varias armas de fuego.,abaleo,"{""prompt_id"":""P3"",""input"":""Situación en la que hay disparos repetidos que provienen de una o varias armas de fuego."",""output"":{""palabra"":""balacera""}}","{""prompt_id"":""P3"",""input"":""Situación en la que hay disparos repetidos que provienen de una o varias armas de fuego."",""output"":{""palabra"":""balacera""}}"
"En el beisbol, fallar el bateador al no tocar la pelota que se le lanza habiendo hecho el movimiento completo del bate para golpearla.",abanicar,"{""prompt_id"":""P3"",""input"":""En el beisbol, fallar el bateador al no tocar la pelota que se le lanza habiendo hecho el movimiento completo del bate para golpearla."",""output"":{""palabra"":""dar un ponche""}}","{""prompt_id"":""P3"",""input"":""En el beisbol, fallar el bateador al no tocar la pelota que se le lanza habiendo hecho el movimiento completo del bate para golpearla."",""output"":{""palabra"":""poncharse""}}"
Aparato eléctrico que crea una corriente de aire en una habitación para ventilarla y disminuir su temperatura.,abanico,"{""prompt_id"":""P3"",""input"":""Aparato eléctrico que crea una corriente de aire en una habitación para ventilarla y disminuir su temperatura."",""output"":{""palabra"":""ventilador""}}","{""prompt_id"":""P3"",""input"":""Aparato eléctrico que crea una corriente de aire en una habitación para ventilarla y disminuir su temperatura."",""output"":{""palabra"":""ventilador eléctrico""}}"
"Árbol maderable que alcanza una altura hasta 50 m, de hojas lanceoladas, follaje poco frondoso, la corteza se procesa para la elaboración de canastos.",abarco,"{""prompt_id"":""P3"",""input"":""Árbol maderable que alcanza una altura hasta 50 m, de hojas lanceoladas, follaje poco frondoso, la corteza se procesa para la elaboración de canastos."",""output"":{""palabra"":""guadua""}}","{""prompt_id"":""P3"",""input"":""Árbol maderable que alcanza una altura hasta 50 m, de hojas lanceoladas, follaje poco frondoso, la corteza se procesa para la elaboración de canastos."",""output"":{""palabra"":""canasto de palma""}}"
Víveres de consumo diario.,abarrotes,"{""prompt_id"":""P3"",""input"":""Víveres de consumo diario."",""output"":{""palabra"":""mercadeo""}}","{""prompt_id"":""P3"",""input"":""Víveres de consumo diario."",""output"":{""palabra"":""los mandados""}}"
Ser hábil o astuto para salir bien librado de situaciones complicadas.,abeja,"{""prompt_id"":""P3"",""input"":""Ser hábil o astuto para salir bien librado de situaciones complicadas."",""output"":{""palabra"":""saberse las vueltas""}}","{""prompt_id"":""P3"",""input"":""Ser hábil o astuto para salir bien librado de situaciones complicadas."",""output"":{""palabra"":""salir en suerte""}}"
Manosear lujuriosamente a alguien en público.,abejorrear,"{""prompt_id"":""P3"",""input"":""Manosear lujuriosamente a alguien en público."",""output"":{""palabra"":""pasársela tocando""}}","{""prompt_id"":""P3"",""input"":""Manosear lujuriosamente a alguien en público."",""output"":{""palabra"":""manosear a alguien""}}"
"Referido a alguien o a algo, que es sorprendente o muy notorio.",abismante,"{""prompt_id"":""P3"",""input"":""Referido a alguien o a algo, que es sorprendente o muy notorio."",""output"":{""palabra"":""dar que hablar""}}","{""prompt_id"":""P3"",""input"":""Referido a alguien o a algo, que es sorprendente o muy notorio."",""output"":{""palabra"":""ser la gran cosa""}}"
